"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP17,TP37,TP34,TP63,TP66,TP5,TP42,TP33,TP13,TP67,TP58,TP76,TP18,TP32,TP51,TP45,TP56,TP14,TP48,TP1,TP52,TP69,TP77,TP75,TP71,TP28,TP2,TP38,TP3,TP35,TP68,TP10,TP43,TP61,TP72,TP11,TP55,TP64,TP31,TP74,TP15,TP20,TP6,TP57,TP27,TP70,TP59,TP8,TP7,TP12,TP78,TP50,TP65,TP49,TP4,TP47,TP19,TP16,TP29,TP44,TP46,TP9,TP62,TP60,TP30,TP73,TP36,TP53,TP54,TP41";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";70;"TestPoint_Alt";;;
2;"R218,R217,R216,R215,R164,R161,R163,R91,R90,R166,R89,R165";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";12;"5K";;;
3;"D23,D18,D2,D17,D3,D16";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"LED";;;
4;"J25,J36,J24,J33";"JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical";4;"Conn_01x08_Pin";;;
5;"D5,D6,D8,D10,D4,D15,D20,D7,D22,D13,D19,D14,D9,D21,D12,D11";"D_SMA";16;"US2AA";;;
6;"R95,R115,R97,R71,R116,R80,R81,R99,R63,R74,R133,R132,R64,R94,R61,R136,R65,R102,R79,R153,R111,R107,R104,R130,R103,R106,R76,R108,R137,R110,R134,R87,R117,R86,R98,R131,R78,R101,R113,R69,R72,R84,R151,R152,R112,R85,R150,R135,R66,R88,R114";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";51;"10K";;;
7;"R204,R231,R178,R228,R221,R222,R183,R226,R188,R190,R225,R189,R182,R179,R202,R229,R177,R220,R185,R176,R230,R187,R223,R184";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";24;"33K";;;
8;"J60,J65,J40,J42,J64,J59,J41,J67,J56,J62,J61,J48,J45,J63,J46,J66,J47,J43,J57,J58,J44";"PinHeader_1x01_P2.54mm_Vertical";21;"Conn_01x01_Pin";;;
9;"R28,R144,R32,R39,R51,R52,R129,R41,R142,R56,R43,R138,R148,R109,R125,R100,R118,R119,R27,R123,R145,R105,R31,R30,R25,R149,R139,R53,R143,R128,R33,R34,R92,R42,R40,R29,R122,R124,R26";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";39;"100R";;;
10;"C14,C45,C13,C20,C37,C11,C40,C38,C39,C12,C19";"CP_Elec_4x3.9";11;"C_Polarized";;;
11;"J31,J51,J38,J27,J39,J53,J32,J37,J19,J52,J55,J54";"PhoenixContact_GMSTBA_2,5_2-G_1x02_P7.50mm_Horizontal";12;"Conn_01x02_Pin";;;
12;"J22,J15,J14,J10,J13,J9,J2,J4,J16,J7,J8,J5,J11,J6,J3,J21,J1,J12";"Wuerth_REDCUBE-THR_WP-THRSH_74651175_THR";18;"Screw_Terminal_01x01";;;
13;"C42,C23,C44,C16,C46,C22,C17,C18,C15,C41,C43";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";11;"C_Polarized";;;
14;"M4,M1,M2,M5,M3,M6";"TO-247-3_Horizontal_TabDown";6;"IXTH64N10L2";;;
15;"C5,C6,C32,C36,C31,C35";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"1nF";;;
16;"U5,U6";"SOIC-14_3.9x8.7mm_P1.27mm";2;"MCP4922-ESL";;;
17;"RV2,RV5,RV6,RV1,RV7,RV8,RV3,RV9,RV4";"Potentiometer_Bourns_3314J_Vertical";9;"10K";;;
18;"R77,R49,R73,R121,R120,R59,R60,R140,R141,R50,R70,R96";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";12;"3K3";;;
19;"U22,U21,U23,U19,U20,U17";"SMDIP-4_W9.53mm_Clearance8mm";6;"SFH6206-2T";;;
20;"C26,C29,C24,C27,C30,C34,C33,C28,C21";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";9;"1uF";;;
21;"R197,R201,R196,R211,R203,R207,R198,R199,R209";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";9;"470K";;;
22;"R17,R13,R1,R5,R9,R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"330K";;;
23;"R192,R206,R214";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"1K";;;
24;"R35,R146,R127,R46,R126,R54,R38,R55,R45,R36,R147,R37";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";12;"10R";;;
25;"R57,R162,R62,R75,R82,R173,R174,R175,R93,R58,R67,R83";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";12;"1K";;;
26;"R169,R210,R200,R208,R167,R181,R219,R205,R180,R168,R186,R227,R170,R191,R213";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";15;"10K";;;
27;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
28;"TP23,TP40,TP24,TP39,TP21,TP26,TP22,TP25";"TestPoint_Pad_D1.0mm";8;"TestPoint";;;
29;"M7,M10,M12,M9,M8,M11";"TO-220-3_Horizontal_TabDown";6;"IRF530";;;
30;"R157";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"750R";;;
31;"R48,R158,R44";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"1R";;;
32;"R212,R172,R171,R195,R224,R194";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"220R";;;
33;"R11,R10,R2,R7,R3,R12,R14,R15,R4,R6,R16,R8";"R_Shunt_Vishay_WSR2_WSR3";12;"0.01R";;;
34;"U11,U12,U9,U2,U8,U10,U4,U1";"SOIC-14_3.9x8.7mm_P1.27mm";8;"Opamp_Quad";;;
35;"J49,J50";"PhoenixContact_GMSTBA_2,5_4-G-7,62_1x04_P7.62mm_Horizontal";2;"Conn_01x04_Pin";;;
36;"U18,U16,U14";"Toshiba_11-7A9";3;"TLP3023";;;
37;"U13,U7";"SOT-223-3_TabPin2";2;"LM317_SOT-223";;;
38;"C10,C49";"C_Rect_L28.0mm_W12.0mm_P22.50mm_MKS4";2;"1uF MKT";;;
39;"R47,R159,R160";"R_Shunt_Vishay_WSR2_WSR3";3;"1R";;;
40;"U3";"SOIC-14_3.9x8.7mm_P1.27mm_ilker";1;"Opamp_Quad";;;
41;"R19,R18,R23,R20,R24,R22";"R_Shunt_Vishay_WSR2_WSR3";6;"10MR";;;
42;"R154";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1K22";;;
43;"R155";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"110R";;;
44;"J35,J20";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";2;"Conn_01x04_Pin";;;
45;"C50,C52,C51";"C_Rect_L7.0mm_W2.0mm_P5.00mm";3;"100nF";;;
46;"J34,J23";"JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical";2;"Conn_01x06_Pin";;;
47;"T1,T3,T2";"Transformer_Myrra_EI30-5_44000_Horizontal";3;"Transformer_1P_2S";;;
48;"J29,J30,J18";"PhoenixContact_GMSTBVA_2,5_2-G_1x02_P7.50mm_Vertical";3;"Conn_01x02_Pin";;;
49;"C4,C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"100pF";;;
50;"J17,J26,J28";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";3;"Conn_01x04_Pin";;;
51;"U15";"TO-220-3_Vertical";1;"LM7812_TO220";;;
52;"C7,C25,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10pF";;;
53;"C9";"CP_Radial_D26.0mm_P10.00mm_SnapIn";1;"300uF / 50V";;;
54;"C48";"CP_Radial_D24.0mm_P10.00mm_SnapIn";1;"C_Polarized";;;
55;"R156";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"450R";;;
56;"C47,C3";"CP_Elec_6.3x7.7";2;"C_Polarized";;;
57;"R68";"R_Axial_Power_L60.0mm_W14.0mm_P66.04mm";1;"1R";;;
